Unnamed: 0,Lig_Name,Experimental_G,MBAR,MBAR_Error,BAR,BAR_Error,TI,TI_Error,Vanilla,Rep,Convergence,overestimation
35,46905,-6.817102503870962,-14.90087204045713,0.2557536924320296,-14.953224799900994,0.0460321378245617,-15.092344217644126,0.0963085616886567,van3,rep1,False,-8.083769536586168
47,47821,-11.166413901340634,-18.49249065415296,0.2371812503556238,-18.43306089757459,0.0419218111913148,-18.004172472250957,0.0787755816820328,van3,rep1,False,-7.326076752812325
30,46892,-8.971306895094186,-16.051508779619923,0.2509640795363959,-15.637674792333058,0.0433376816410205,-16.07386458676058,0.1132151391491523,van1,rep1,False,-7.080201884525737
58,48845,-7.5124469592658,-14.523090499120826,0.2573787746555192,-14.509534055188794,0.055663187412235,-14.825623016042414,0.0906340401203218,van2,rep1,True,-7.010643539855026
59,48845,-7.5124469592658,-14.489119183243815,0.2527087520532303,-14.419700088202887,0.0536117704561178,-14.36521041464846,0.0882145260881591,van3,rep1,True,-6.9766722239780155
62,48951,-10.143848525759992,-16.602465024632465,0.2276875207353287,-16.62505340340772,0.0430440491636373,-15.470747099268294,0.1032459159915848,van3,rep1,False,-6.458616498872473
76,52542,-11.084608671294186,-17.307198610887355,0.1923184730042926,-17.32826974773448,0.0353735046656963,-16.249528863599238,0.0734679477605996,van2,rep1,False,-6.222589939593169
39,47594,-10.97553503123225,-17.191817914563444,0.1988208725569678,-17.292895010059624,0.0482237148982349,-17.66060324971164,0.0776064097396834,van1,rep1,True,-6.2162828833311945
21,46726,-6.885273528909671,-12.915079596649036,0.1148287160060319,-12.81949465585376,0.0805596780147295,-12.705421553839813,0.0932162648236316,van1,rep1,False,-6.029806067739365
60,48951,-10.143848525759992,-15.33204953549324,0.1746121507466337,-15.217455927388867,0.0387045483483267,-14.809764658344363,0.0913351658272887,van1,rep1,False,-5.188201009733248
22,46726,-6.885273528909671,-11.47233550817083,0.177103538106138,-11.487285782678043,0.0701361708409797,-11.340672450801264,0.102729318123841,van2,rep1,True,-4.587061979261158
33,46905,-6.817102503870962,-11.386378654577785,0.1871077689106389,-11.453092012873723,0.0467545137331786,-11.032728874567766,0.0862148564518767,van1,rep1,True,-4.5692761507068225
34,46905,-6.817102503870962,-11.085472610478805,0.1935350343965319,-11.00447430463717,0.0437090872372827,-11.849670284174238,0.0756133034900952,van2,rep1,False,-4.2683701066078426
68,49847,-10.880095596178055,-14.924182854104233,0.1827213426663979,-14.874403535218136,0.0389056904569499,-14.63044954515297,0.0678323708880466,van3,rep1,True,-4.0440872579261775
53,48083,-11.12551128631741,-15.084541628519531,0.2003443302863795,-15.10563693644636,0.0380250557909552,-14.554719461851704,0.08020217512721,van3,rep1,False,-3.959030342202121
10,43703,-10.41653262591483,-14.209075658589684,0.2031968762920601,-14.127183916283345,0.0389395344905707,-15.452450369910622,0.0676871567391498,van2,rep1,True,-3.792543032674855
51,48083,-11.12551128631741,-14.86074584249866,0.2236412161088492,-14.87852827317596,0.049346129303308,-15.23111981023976,0.0847010235357335,van1,rep1,False,-3.7352345561812506
77,52542,-11.084608671294186,-14.69866825396744,0.2030251522910031,-14.672612908841216,0.0441724592664454,-15.47900397752369,0.0702543323149263,van3,rep1,False,-3.6140595826732547
45,47821,-11.166413901340634,-14.660540674809624,0.2058641090422859,-14.39528871467178,0.0462799241945845,-15.171769924715475,0.0878214447594474,van1,rep1,False,-3.49412677346899
0,43289,-8.616817564892896,-11.950412028583685,0.2035637847364174,-11.845930772587224,0.0397095086322751,-12.747889645512489,0.0764556774424052,van1,rep1,True,-3.3335944636907886
5,43367,-8.589549154877412,-11.857971572051014,0.215443788500606,-11.865215630219694,0.0473586368924902,-11.535661558280369,0.076232910771026,van3,rep1,False,-3.2684224171736016
23,46726,-6.885273528909671,-10.124091127634586,0.2331549992055218,-10.028451382115804,0.0835424721206873,-9.912378174214894,0.1018373899138076,van3,rep1,True,-3.238817598724914
12,43796,-10.075677500721282,-13.30732540022352,0.2048112580789035,-13.205042507944457,0.0386930242788328,-13.18594294083131,0.0802819220754309,van1,rep1,True,-3.2316478995022386
69,49860,-11.575440051572894,-14.7800559780423,0.1758737450587994,-14.879881180992273,0.039341706127282,-15.03848449756478,0.068791447561884,van1,rep1,True,-3.2046159264694065
18,46433,-8.275962439699349,-11.4686394267803,0.1781191820982784,-11.480773289030708,0.04176570806903,-11.46543381953154,0.0862603724776924,van1,rep1,True,-3.192676987080951
3,43367,-8.589549154877412,-11.765668292327293,0.2098720129781314,-11.670432395917771,0.0436618006502609,-12.780991847238823,0.0789726095822558,van1,rep1,True,-3.1761191374498807
44,47816,-10.948266621216764,-14.113377312352611,0.1931549821439286,-14.103013676265732,0.0658844726980438,-14.066191120992071,0.0749356334758526,van3,rep1,True,-3.1651106911358475
73,51964,-10.443801035930314,-13.582586124787468,0.1759715877758654,-13.534115690161713,0.0486736631759222,-13.169321092450817,0.0910065584117041,van2,rep1,True,-3.138785088857155
74,51964,-10.443801035930314,-13.44162644808364,0.1723778293531486,-13.35262486846625,0.0388280484112285,-14.121640711981598,0.0720430715902637,van3,rep1,True,-2.997825412153327
31,46892,-8.971306895094186,-11.964548039204033,0.1974914902107881,-11.80057554710993,0.0412452510467423,-11.152860202185906,0.1033463440127519,van2,rep1,True,-2.993241144109847
41,47594,-10.97553503123225,-13.958292528719369,0.2395652401216295,-13.979106990181322,0.0610770784320313,-14.58440314537205,0.0792683557073949,van3,rep1,True,-2.9827574974871194
70,49860,-11.575440051572894,-14.519510236199975,0.2003398277562114,-14.573591179808886,0.0398414337062198,-15.571572831789126,0.0841087095170776,van2,rep1,True,-2.9440701846270816
8,43612,-10.048409090705798,-12.926818970315368,0.175227590459953,-12.82645572511558,0.0574802383946363,-13.854177495867988,0.074240468882552,van3,rep1,False,-2.8784098796095705
11,43703,-10.41653262591483,-13.269805915240028,0.1948607521911809,-13.226900737998562,0.0444460869448401,-13.869730074345938,0.0836782625438964,van3,rep1,True,-2.853273289325198
24,46831,-10.539240470984508,-13.373665467964486,0.1865076545355026,-13.295430695764509,0.0395295686244145,-13.360487517058544,0.0773211856366965,van1,rep1,False,-2.834424996979978
71,49860,-11.575440051572894,-14.279775306123751,0.2223689391491689,-14.130471550196717,0.0401725285616269,-15.719833474271129,0.0775264436673213,van3,rep1,True,-2.704335254550857
32,46892,-8.971306895094186,-11.651335408510905,0.2161580781153497,-11.37374631488646,0.0505494151468828,-13.690628840289977,0.0964131364549386,van3,rep1,False,-2.680028513416719
13,43796,-10.075677500721282,-12.714608098589096,0.193902179976199,-12.73379102266307,0.0392396598664966,-13.18725105117028,0.0743701296432415,van2,rep1,True,-2.638930597867814
66,49847,-10.880095596178055,-13.46608526979449,0.1760972939380387,-13.367224018005828,0.0360369737956436,-13.692369884157555,0.0707801085332437,van1,rep1,True,-2.585989673616435
65,49599,-10.307458985852897,-12.79741041702698,0.1883302431454299,-12.768201457177495,0.0551646301545006,-14.35891275747531,0.08139817673114,van3,rep1,True,-2.4899514311740827
15,43929,-10.007506475682572,-12.47168155862022,0.2007340714496403,-12.44992943076295,0.062685823772642,-12.21254693307054,0.0879328269169275,van1,rep1,True,-2.4641750829376488
57,48845,-7.5124469592658,-9.75928011066742,0.2482787311190352,-9.6240112323851,0.0514096215541471,-9.582522670199635,0.0948527079306836,van1,rep1,True,-2.2468331514016207
36,47311,-11.384561181464504,-13.553412029309442,0.1954324047822126,-13.592562891084611,0.0503230165472162,-13.634994453280823,0.0728217016891093,van1,rep1,True,-2.168850847844938
26,46831,-10.539240470984508,-12.502612679711037,0.1886638113039099,-12.420983525771277,0.0436919978118841,-12.441765213651706,0.0851040918806628,van3,rep1,True,-1.963372208726529
4,43367,-8.589549154877412,-10.236671585203226,0.2141378583010537,-10.299452654688764,0.0569521939298126,-9.151789682753275,0.0828820621837761,van2,rep1,True,-1.6471224303258136
19,46433,-8.275962439699349,-9.898036528928316,0.1966359964744957,-9.813765764093688,0.0412040627557346,-10.029115096300472,0.0863149722707,van2,rep1,True,-1.622074089228967
54,48732,-10.593777291015474,-12.095355519648308,0.2312873196999534,-12.179735299149286,0.0688382266909339,-12.785118079797542,0.0744349768720317,van1,rep1,True,-1.5015782286328339
55,48732,-10.593777291015474,-12.033353746723831,0.2045859204458314,-11.937299981952094,0.0732135894817127,-12.390105914516766,0.0873225433402588,van2,rep1,True,-1.439576455708357
42,47816,-10.948266621216764,-12.317731976039909,0.196135269650741,-12.239697020810524,0.0585563795316458,-12.961803782019444,0.0767780253486762,van1,rep1,True,-1.369465354823145
29,46853,-8.684988589931606,-9.958242759953492,0.1898642483910505,-10.016040909386362,0.0443264708362411,-10.709149459973474,0.0735504098691859,van3,rep1,True,-1.273254170021886
67,49847,-10.880095596178055,-12.115266735088367,0.1993191065292427,-12.013176715386235,0.0409695179696363,-12.301596750259703,0.0828619901978509,van2,rep1,False,-1.235171138910312
56,48732,-10.593777291015474,-11.81022461931957,0.2237100138339644,-11.72460937544679,0.0728296469962546,-12.301616472009188,0.076002100404601,van3,rep1,False,-1.2164473283040955
25,46831,-10.539240470984508,-11.749237458894498,0.1733486694812641,-11.757826300194068,0.038186620746705,-12.308565927265562,0.0715457760624499,van2,rep1,True,-1.2099969879099906
20,46433,-8.275962439699349,-9.455182462598003,0.1925165116003874,-9.452672108949002,0.0553406459627549,-8.728328238867988,0.10242993669218,van3,rep1,True,-1.1792200228986545
49,47848,-10.389264215899347,-11.521383800335514,0.1799022476362609,-11.52161116635665,0.0420397092139446,-11.960568423802329,0.0721169929267428,van2,rep1,True,-1.1321195844361664
2,43289,-8.616817564892896,-9.625975545699871,0.1892094666138974,-9.54450614698476,0.0436380276593816,-9.76724011697928,0.0866035834927604,van3,rep1,False,-1.0091579808069753
14,43796,-10.075677500721282,-10.87830266460999,0.2124297846736019,-10.805830298290031,0.0459448556863169,-10.848687244944957,0.0769400518105626,van3,rep1,True,-0.8026251638887079
48,47848,-10.389264215899347,-11.151345583137951,0.2064849831716008,-11.16810339771439,0.0414239249541708,-11.893113865775774,0.0695032213029515,van1,rep1,True,-0.7620813672386042
1,43289,-8.616817564892896,-9.206068142125789,0.188535621188888,-9.094569066402812,0.0448748367105343,-8.987486542997999,0.0798621489480411,van2,rep1,True,-0.5892505772328924
72,51964,-10.443801035930314,-10.957767985729872,0.2298452466611913,-10.951759589494143,0.0668963404494688,-10.749625909086774,0.1153304325711419,van1,rep1,False,-0.513966949799558
6,43612,-10.048409090705798,-10.45239480040533,0.1758445145995371,-10.49719949635147,0.0665479676267237,-10.37592309169736,0.0751317367684738,van1,rep1,False,-0.4039857096995316
27,46853,-8.684988589931606,-9.054661521407525,0.172322998153718,-8.913587728882845,0.0391339925949283,-9.229648086781625,0.0736519887213677,van1,rep1,True,-0.3696729314759182
28,46853,-8.684988589931606,-8.966979174013602,0.1912884826101449,-8.915692297828741,0.0436881295343602,-8.869583216726284,0.0705639434272322,van2,rep1,False,-0.2819905840819956
40,47594,-10.97553503123225,-11.248471374942028,0.2001664221538242,-11.350832951517305,0.063492310423648,-11.10218373646211,0.0768382666621731,van2,rep1,True,-0.2729363437097785
43,47816,-10.948266621216764,-11.20950658592318,0.2163005556571081,-11.233300771223185,0.0595048020840401,-11.588793078658,0.07334219693172,van2,rep1,False,-0.26123996470641586
38,47311,-11.384561181464504,-11.615950229954848,0.1959195949708372,-11.583335755776917,0.0506563979685719,-11.217534343231565,0.0850503019539536,van3,rep1,True,-0.23138904849034425
61,48951,-10.143848525759992,-10.260925347367843,0.2138129462129893,-10.335760591221684,0.0447275847566157,-10.178343927000183,0.0873963823214482,van2,rep1,True,-0.11707682160785104
63,49599,-10.307458985852897,-10.339383805140583,0.2585394418312287,-10.350307710885003,0.0457378161580708,-13.1015965720008,0.0838540908323704,van1,rep1,True,-0.031924819287686645
16,43929,-10.007506475682572,-9.946859980591114,0.1833916765697049,-9.936796340991862,0.0689954634999528,-10.416547673128091,0.0820971650687257,van2,rep1,True,0.06064649509145781
17,43929,-10.007506475682572,-9.444574823286928,0.2067739401985595,-9.377255413462365,0.0707981523038135,-9.59189047250146,0.0869716816817743,van3,rep1,False,0.562931652395644
52,48083,-11.12551128631741,-10.31892294467974,0.1841588482132491,-10.344019685989906,0.0441903915596141,-9.975887490492994,0.0807982982357958,van2,rep1,True,0.8065883416376707
37,47311,-11.384561181464504,-10.494048405259122,0.1867150948621459,-10.557930142327535,0.0516838012320352,-10.233174917486252,0.0833064134531991,van2,rep1,True,0.8905127762053819
9,43703,-10.41653262591483,-9.521467082619068,0.1792778671473261,-9.453043438287352,0.0414179027781545,-9.790137920134867,0.0763455835815987,van1,rep1,False,0.895065543295761
50,47848,-10.389264215899347,-9.1518484072366,0.1927160042019058,-9.061230501228492,0.0479625344216711,-10.491089260667934,0.0697842224794706,van3,rep1,True,1.2374158086627478
7,43612,-10.048409090705798,-8.178844282968328,0.2153521175319643,-8.08598699015596,0.0557579819733446,-8.570968454589263,0.1045760703494597,van2,rep1,False,1.8695648077374702
46,47821,-11.166413901340634,-8.992671700122344,0.2065861545861973,-8.904466657628518,0.0496290151971735,-8.051786257538083,0.1094512352612336,van2,rep1,True,2.1737422012182908
64,49599,-10.307458985852897,-7.285375062663661,0.2068148620463065,-7.332379284098835,0.05473921669505,-8.129780475666308,0.0770922608302084,van2,rep1,True,3.0220839231892356
75,52542,-11.084608671294186,-5.057394737649787,0.2026795848862854,-5.03267670363212,0.0494862469358746,-4.895704239568062,0.0979375380149124,van1,rep1,True,6.027213933644399
